"","country","year","co2.emissions.per.cap","electric.consumption","total.energy.use","fertility","gdp","internet.users","life.exp","military.exp.perc.gdp","population","hiv.rate"
"1","Belarus",2000,5.91,2988.71,2459.67,1.29,1380,18.69,68.01,1.26,1e+07,NA
"2","Belarus",2001,5.87,2996.81,2476.16,NA,1300,43.15,NA,1.44,9970260,NA
"3","Belarus",2002,6.03,2982.77,2539.95,1.25,1370,89.8,68.21,1.4,9925000,NA
"4","Belarus",2003,6.33,3039.1,2628.83,1.25,1610,162.76,NA,1.3,9873968,0.31
"5","Belarus",2004,NA,3143.58,2725.44,1.24,2150,250.51,68.39,1.36,9824469,NA
"6","Belarus",2005,NA,NA,NA,1.24,2760,347.23,68.48,1.24,9775591,0.34
"7","Philippines",2000,1.03,514.02,559.83,NA,1060,20.33,69.53,1.08,75800000,NA
"8","Philippines",2001,0.99,535.18,539.4,NA,1050,25.89,NA,0.99,77200000,NA
"9","Philippines",2002,0.99,539.74,537.47,3.5,1030,44.47,70.19,0.98,78700000,NA
"10","Philippines",2003,0.96,574.47,524.9,NA,1080,49.9,NA,1.03,80200000,0.1
"11","Philippines",2004,NA,597.06,542.39,NA,1200,53.91,NA,0.9,81600000,NA
"12","Philippines",2005,NA,NA,NA,3.2,1290,NA,71.04,0.82,83100000,0.1
"13","Morocco",2000,1.2,489.04,350.32,2.62,1190,7.03,68.81,4.13,28500000,NA
"14","Morocco",2001,1.32,508.1,370.93,2.5,1200,13.87,NA,4.08,28800000,NA
"15","Morocco",2002,1.32,526.4,373.38,2.5,1190,23.99,69.48,4.27,29200000,NA
"16","Morocco",2003,1.28,562.93,370.01,2.5,1340,33.87,NA,4.22,29500000,0.09
"17","Morocco",2004,NA,594.3,383.8,2.43,1570,117.3,NA,4.54,29800000,NA
"18","Morocco",2005,NA,NA,NA,2.4,1750,152.61,70.38,4.28,30100000,0.1
"19","Afghanistan",2000,0.04,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","Afghanistan",2001,0.03,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","Afghanistan",2002,0.03,NA,NA,NA,NA,0.04,NA,NA,NA,NA
"22","Afghanistan",2003,0.03,NA,NA,NA,NA,0.73,NA,NA,NA,0.1
"23","Afghanistan",2004,NA,NA,NA,NA,NA,0.87,NA,NA,NA,NA
"24","Afghanistan",2005,NA,NA,NA,NA,NA,1,NA,NA,NA,0.1
"25","Nicaragua",2000,0.77,349.37,558.5,3.54,760,10.16,68.87,0.78,4920286,NA
"26","Nicaragua",2001,0.8,349.6,559.75,NA,760,15.03,NA,0.71,4991475,NA
"27","Nicaragua",2002,0.78,373.83,552.24,3.3,760,17.82,69.48,0.87,5050368,NA
"28","Nicaragua",2003,0.77,373.59,613.75,NA,790,19.62,NA,0.87,5096507,0.21
"29","Nicaragua",2004,NA,416.57,643.39,NA,870,24.4,NA,0.7,5122841,NA
"30","Nicaragua",2005,NA,NA,NA,3.08,950,27.19,70.39,0.69,5149311,0.24
"31","Korea, Dem. Rep.",2000,3.52,747.14,903.3,2.02,NA,NA,63.1,NA,21900000,NA
"32","Korea, Dem. Rep.",2001,3.63,772.66,928.63,NA,NA,0,NA,NA,2.2e+07,NA
"33","Korea, Dem. Rep.",2002,3.43,751.85,882.16,2,NA,NA,63.04,NA,22100000,NA
"34","Korea, Dem. Rep.",2003,3.48,793.87,894.09,NA,NA,NA,NA,NA,22300000,0.2
"35","Korea, Dem. Rep.",2004,NA,826.54,910.17,NA,NA,NA,NA,NA,22400000,NA
"36","Korea, Dem. Rep.",2005,NA,NA,NA,1.96,NA,NA,63.92,NA,22500000,0.2
"37","Kyrgyz Republic",2000,0.94,1687.38,497.43,2.4,280,10.5,68.56,2.85,4915300,NA
"38","Kyrgyz Republic",2001,0.78,1443.05,451.08,2.4,280,30.39,68.71,2.35,4954800,NA
"39","Kyrgyz Republic",2002,0.99,1365.26,507.89,2.5,290,30.44,68.11,2.73,4993200,NA
"40","Kyrgyz Republic",2003,1.06,1646.69,531.5,2.5,340,39.69,68.26,2.87,5038600,0.1
"41","Kyrgyz Republic",2004,NA,1421.22,545.87,2.45,400,51.64,68.15,2.85,5092802,NA
"42","Kyrgyz Republic",2005,NA,NA,NA,2.41,450,54.44,68.34,NA,5143500,0.14
"43","Middle East & North Africa",2000,3.21,1075.27,1076.66,3.27,1660,9.02,68.14,4.32,2.79e+08,NA
"44","Middle East & North Africa",2001,3.21,1122.92,1104.58,NA,1710,11.96,NA,4.59,2.84e+08,NA
"45","Middle East & North Africa",2002,3.5,1176.9,1145.34,3.11,1700,28.94,68.79,4.18,2.9e+08,NA
"46","Middle East & North Africa",2003,3.43,1221.77,1157.82,NA,1810,41.89,NA,4.29,2.95e+08,0.12
"47","Middle East & North Africa",2004,NA,1290.24,1190.15,NA,1980,60.28,NA,4.28,3e+08,NA
"48","Middle East & North Africa",2005,NA,NA,NA,2.97,2220,88.9,69.67,3.73,3.06e+08,0.15
"49","Haiti",2000,0.17,38.17,256.84,4.14,500,2.52,50.67,NA,7938791,NA
"50","Haiti",2001,0.19,37.62,259.4,NA,480,3.73,NA,NA,8053271,NA
"51","Haiti",2002,0.22,32.8,287.16,3.98,440,9.79,51.42,NA,8169525,NA
"52","Haiti",2003,0.21,30.89,269.93,NA,410,18.1,NA,NA,8287465,3.81
"53","Haiti",2004,NA,30.45,262.28,NA,420,59.47,NA,NA,8406941,NA
"54","Haiti",2005,NA,NA,NA,3.75,460,70.36,52.61,NA,8527777,3.81
"55","France",2000,6.01,7491.56,4373.29,1.88,24500,143.64,78.91,2.55,58900000,NA
"56","France",2001,6.28,7596.85,4499.92,1.89,23300,264.44,79.11,2.48,59200000,NA
"57","France",2002,6.16,7571.55,4464.89,1.88,22500,302.98,79.31,2.5,59600000,NA
"58","France",2003,6.22,7792.99,4507.37,1.89,25300,361.82,79.26,2.55,60200000,0.42
"59","France",2004,NA,7899.74,4546.66,1.9,30500,392.13,80.16,2.57,60500000,NA
"60","France",2005,NA,NA,NA,1.92,34600,429.65,80.21,2.49,60900000,0.4
"61","Puerto Rico",2000,2.61,NA,NA,1.9,10560,104.82,76.08,NA,3815900,NA
"62","Puerto Rico",2001,3.75,NA,NA,NA,10950,156.28,NA,NA,3839190,NA
"63","Puerto Rico",2002,3.83,NA,NA,1.9,NA,175.41,76.54,NA,3859606,NA
"64","Puerto Rico",2003,0.54,NA,NA,1.9,NA,197.01,NA,NA,3877881,NA
"65","Puerto Rico",2004,NA,NA,NA,1.91,NA,221.3,77.49,NA,3895107,NA
"66","Puerto Rico",2005,NA,NA,NA,1.8,NA,NA,77.65,NA,3912054,NA
"67","Egypt, Arab Rep.",2000,2.06,999.41,681.41,NA,1450,6.69,68.79,2.68,67300000,NA
"68","Egypt, Arab Rep.",2001,1.93,1052.29,688.89,NA,1460,8.75,NA,2.78,68600000,NA
"69","Egypt, Arab Rep.",2002,2.02,1103.2,752.63,3.3,1400,27.18,69.61,2.83,69900000,NA
"70","Egypt, Arab Rep.",2003,1.96,1173.06,761.33,3.2,1310,42.09,NA,2.83,71300000,0.1
"71","Egypt, Arab Rep.",2004,NA,1215.34,783.03,3.1,1250,53.69,NA,2.78,72600000,NA
"72","Egypt, Arab Rep.",2005,NA,NA,NA,3.1,1250,67.54,70.53,2.8,7.4e+07,0.1
"73","Cape Verde",2000,0.31,NA,NA,3.9,1280,17.75,69.24,1.28,450597,NA
"74","Cape Verde",2001,0.32,NA,NA,NA,1240,26.01,NA,0.84,461331,NA
"75","Cape Verde",2002,0.31,NA,NA,3.77,1210,33.87,69.84,0.73,472372,NA
"76","Cape Verde",2003,0.3,NA,NA,NA,1400,41.35,NA,0.71,483675,NA
"77","Cape Verde",2004,NA,NA,NA,NA,1630,50.49,NA,0.71,495171,NA
"78","Cape Verde",2005,NA,NA,NA,3.53,1980,49.33,70.71,NA,506807,NA
"79","High income: nonOECD",2000,12.57,7062.48,4902.32,2.72,14200,175.43,75.23,5.43,78700000,NA
"80","High income: nonOECD",2001,12.67,7218,5025.21,NA,14200,232.88,NA,5.82,80100000,NA
"81","High income: nonOECD",2002,12.9,7457.46,5182.79,2.59,14000,290.56,75.72,5.4,81400000,NA
"82","High income: nonOECD",2003,13.08,7832.17,5320.97,NA,14800,322.81,NA,5.1,82900000,NA
"83","High income: nonOECD",2004,NA,7996.93,5586.83,NA,16500,346.73,NA,4.97,84200000,NA
"84","High income: nonOECD",2005,NA,NA,NA,2.52,18000,NA,76.35,4.82,85600000,NA
"85","Djibouti",2000,0.54,NA,NA,5.3,770,1.96,52.47,4.06,714574,NA
"86","Djibouti",2001,0.53,NA,NA,NA,780,4.5,NA,3.98,733118,NA
"87","Djibouti",2002,0.48,NA,NA,5.09,790,6,52.63,4.28,749745,NA
"88","Djibouti",2003,0.48,NA,NA,NA,880,8.5,NA,NA,764838,3.12
"89","Djibouti",2004,NA,NA,NA,NA,970,11.55,NA,NA,779102,NA
"90","Djibouti",2005,NA,NA,NA,4.74,1010,12.61,53.39,NA,793078,3.11
"91","Cayman Islands",2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"92","Cayman Islands",2001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"93","Cayman Islands",2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"94","Cayman Islands",2003,7.07,NA,NA,NA,NA,NA,NA,NA,43000,NA
"95","Cayman Islands",2004,NA,NA,NA,NA,NA,NA,NA,NA,44000,NA
"96","Cayman Islands",2005,NA,NA,NA,NA,NA,NA,NA,NA,45000,NA
"97","Latvia",2000,2.52,2078.41,1638.7,1.24,3220,63.24,70.37,0.89,2372000,NA
"98","Latvia",2001,2.79,2192.88,1799.92,1.21,3550,72.06,70.21,1.05,2359000,NA
"99","Latvia",2002,2.75,2279.73,1797.26,1.24,3840,132.59,70.26,1.58,2338000,NA
"100","Latvia",2003,2.89,2455.55,1892.62,1.29,4450,NA,70.68,1.69,2325342,0.58
"101","Latvia",2004,NA,2548.87,1988.07,1.24,5450,350.23,71.21,1.67,2312791,NA
"102","Latvia",2005,NA,NA,NA,1.31,6760,447.73,71.36,1.69,2300500,0.79
"103","Bangladesh",2000,0.22,103.59,145.13,3.22,390,0.78,61.53,1.41,1.29e+08,NA
"104","Bangladesh",2001,0.25,113.94,155.39,NA,380,1.41,NA,1.34,1.31e+08,NA
"105","Bangladesh",2002,0.25,121.56,156.63,3,380,1.52,62.58,1.25,1.34e+08,NA
"106","Bangladesh",2003,0.25,127.67,160.9,3,400,1.78,NA,1.2,1.37e+08,0.1
"107","Bangladesh",2004,NA,139.55,163.7,2.99,440,2.15,NA,1.19,1.39e+08,NA
"108","Bangladesh",2005,NA,NA,NA,2.98,470,2.61,63.9,1.14,1.42e+08,0.1
"109","Bosnia and Herzegovina",2000,5.05,1979.66,1044.42,1.28,1420,10.4,73.61,NA,3847126,NA
"110","Bosnia and Herzegovina",2001,5.06,1925.97,1118.87,NA,1480,11.54,NA,NA,3900366,NA
"111","Bosnia and Herzegovina",2002,4.82,2005.71,1063.81,1.32,1580,25.5,73.93,3.92,3920808,NA
"112","Bosnia and Herzegovina",2003,4.88,2096.38,1134.97,NA,1840,38.28,NA,2.62,3918175,NA
"113","Bosnia and Herzegovina",2004,NA,2180.09,1203.23,1.22,2280,57.55,NA,2.16,3909479,NA
"114","Bosnia and Herzegovina",2005,NA,NA,NA,1.19,2680,206.4,74.41,1.76,3907074,0.1
"115","Panama",2000,1.95,1301.04,874.93,2.74,3740,36.43,74.36,NA,2949948,NA
"116","Panama",2001,2.33,1308.19,954.29,NA,3700,40.39,NA,NA,3006435,NA
"117","Panama",2002,1.9,1338.3,843.99,2.7,3820,47.33,74.74,NA,3062835,NA
"118","Panama",2003,1.93,1400.71,835.81,NA,3930,55.49,NA,NA,3119132,0.86
"119","Panama",2004,NA,1466.29,801.17,NA,4310,61.9,NA,NA,3175354,NA
"120","Panama",2005,NA,NA,NA,2.62,4640,63.8,75.24,NA,3231502,0.89
"121","Virgin Islands (U.S.)",2000,111.57,NA,NA,2.35,NA,138.07,77.56,NA,108637,NA
"122","Virgin Islands (U.S.)",2001,122.13,NA,NA,NA,NA,183.91,NA,NA,108749,NA
"123","Virgin Islands (U.S.)",2002,113.25,NA,NA,2.2,NA,275.71,78.11,NA,108810,NA
"124","Virgin Islands (U.S.)",2003,124.28,NA,NA,NA,NA,NA,NA,NA,108814,NA
"125","Virgin Islands (U.S.)",2004,NA,NA,NA,2.17,NA,NA,78.41,NA,108775,NA
"126","Virgin Islands (U.S.)",2005,NA,NA,NA,2.2,NA,NA,78.55,NA,108708,NA
"127","Syrian Arab Republic",2000,2.87,1039.44,1044.74,3.66,950,1.78,72.5,5.37,16800000,NA
"128","Syrian Arab Republic",2001,2.75,1112.46,984.48,NA,1080,3.48,NA,6.05,17200000,NA
"129","Syrian Arab Republic",2002,2.85,1191.81,1014.64,3.47,1150,20.64,73.13,5.9,17700000,NA
"130","Syrian Arab Republic",2003,2.7,1243.27,981.7,NA,1210,33.65,NA,6.75,18100000,0.2
"131","Syrian Arab Republic",2004,NA,1317.45,992.51,NA,1310,43.05,NA,6.26,18600000,NA
"132","Syrian Arab Republic",2005,NA,NA,NA,3.24,1420,57.76,73.82,NA,1.9e+07,0.2
"133","Uzbekistan",2000,4.81,1779.59,2034.52,2.6,630,4.87,67.85,NA,24700000,NA
"134","Uzbekistan",2001,4.8,1752.43,2025.75,NA,560,6.01,NA,0.83,2.5e+07,NA
"135","Uzbekistan",2002,4.83,1775.81,2046.04,2.35,450,10.88,66.97,NA,25300000,NA
"136","Uzbekistan",2003,4.83,1758.55,2064.05,2.31,420,19.24,NA,0.54,25600000,0.08
"137","Uzbekistan",2004,NA,1795.67,2087.58,2.26,460,34.02,NA,NA,25900000,NA
"138","Uzbekistan",2005,NA,NA,NA,2.22,530,NA,67.37,NA,26200000,0.21
"139","Burundi",2000,0.04,NA,NA,6.8,120,0.77,42.83,5.97,6486071,NA
"140","Burundi",2001,0.04,NA,NA,NA,110,1.06,NA,8.04,6633320,NA
"141","Burundi",2002,0.04,NA,NA,6.8,100,1.17,43.39,7.56,6818131,NA
"142","Burundi",2003,0.03,NA,NA,NA,90,1.99,NA,7.3,7036675,3.26
"143","Burundi",2004,NA,NA,NA,NA,90,3.43,NA,6.47,7281837,NA
"144","Burundi",2005,NA,NA,NA,6.8,100,5.3,44.65,0.01,7547515,3.26
"145","Guyana",2000,2.15,NA,NA,2.36,880,67.23,61.78,NA,743683,NA
"146","Guyana",2001,2.21,NA,NA,NA,870,134.1,NA,NA,745714,NA
"147","Guyana",2002,2.15,NA,NA,2.29,880,167.23,62.76,NA,747487,NA
"148","Guyana",2003,2.18,NA,NA,NA,910,186.92,NA,NA,748989,2.44
"149","Guyana",2004,NA,NA,NA,NA,930,193.27,NA,NA,750232,NA
"150","Guyana",2005,NA,NA,NA,2.18,1030,212.99,64.26,NA,751218,2.45
"151","Kiribati",2000,0.36,NA,NA,3.84,1030,16.54,61.87,NA,90700,NA
"152","Kiribati",2001,0.32,NA,NA,NA,1040,21.55,NA,NA,92806.66,NA
"153","Kiribati",2002,0.31,NA,NA,3.6,1040,21.12,62.82,NA,94703.91,NA
"154","Kiribati",2003,0.3,NA,NA,NA,980,20.75,NA,NA,96377.02,NA
"155","Kiribati",2004,NA,NA,NA,NA,1070,20.45,NA,NA,97812.85,NA
"156","Kiribati",2005,NA,NA,NA,NA,1170,20.2,NA,NA,99000,NA
"157","Mexico",2000,4.04,1794.61,1534.91,2.41,5110,51.63,73.99,0.52,9.8e+07,NA
"158","Mexico",2001,4.12,1806.73,1537.34,2.34,5580,74.85,74.29,0.54,9.9e+07,NA
"159","Mexico",2002,3.99,1834.94,1556.03,2.27,6000,107.64,74.54,0.5,1e+08,NA
"160","Mexico",2003,4.12,1816.33,1583.49,2.21,6370,120.95,74.84,0.46,1.01e+08,0.27
"161","Mexico",2004,NA,1838.49,1621.51,2.16,6930,137.55,75.09,0.41,1.02e+08,NA
"162","Mexico",2005,NA,NA,NA,2.11,7300,180.64,75.37,0.39,1.03e+08,0.28
"163","Canada",2000,16.11,16986.22,8129.98,1.49,21800,421.55,79.19,1.16,30800000,NA
"164","Canada",2001,15.89,16802.83,7914.57,NA,22100,450.42,79.44,1.19,31100000,NA
"165","Canada",2002,17.09,16955.33,7972.51,1.52,22600,484.66,79.64,1.17,31400000,NA
"166","Canada",2003,17.88,17226.08,8302.25,1.53,24400,556.43,79.79,1.17,31600000,0.3
"167","Canada",2004,NA,17155.71,8410.64,1.53,28100,625.21,NA,1.16,3.2e+07,NA
"168","Canada",2005,NA,NA,NA,1.51,32600,520.14,80.18,1.14,32300000,0.3
"169","Channel Islands",2000,NA,NA,NA,1.75,NA,NA,78.85,NA,146675,NA
"170","Channel Islands",2001,NA,NA,NA,NA,NA,NA,NA,NA,147237,NA
"171","Channel Islands",2002,NA,NA,NA,1.75,NA,NA,79.15,NA,147802,NA
"172","Channel Islands",2003,NA,NA,NA,1.75,NA,NA,NA,NA,148366,NA
"173","Channel Islands",2004,NA,NA,NA,1.67,NA,NA,79.09,NA,148920,NA
"174","Channel Islands",2005,NA,NA,NA,NA,NA,NA,NA,NA,149463,NA
"175","Marshall Islands",2000,NA,NA,NA,NA,2540,15.15,65.24,NA,52821.52,NA
"176","Marshall Islands",2001,NA,NA,NA,NA,2550,16.42,NA,NA,54805.98,NA
"177","Marshall Islands",2002,NA,NA,NA,NA,2720,21.98,NA,NA,56864.99,NA
"178","Marshall Islands",2003,NA,NA,NA,NA,2880,23.73,NA,NA,59001.37,NA
"179","Marshall Islands",2004,NA,NA,NA,NA,2810,32.67,NA,NA,61218,NA
"180","Marshall Islands",2005,NA,NA,NA,NA,2930,34.77,NA,NA,63266.1,NA
"181","Iceland",2000,7.68,26220.64,11544.48,2.08,30580,597.86,78.95,0,281000,NA
"182","Iceland",2001,7.36,26947.37,11800,1.95,29380,603.51,79.41,0,285000,NA
"183","Iceland",2002,7.62,27850.7,11788.19,1.93,28860,647.92,79.45,0,288000,NA
"184","Iceland",2003,7.55,27663.8,11694.08,1.99,31570,673.46,79.65,0,289548.1,0.2
"185","Iceland",2004,NA,28213.31,11975.51,2.03,39800,772.38,80.91,0,292096.2,NA
"186","Iceland",2005,NA,NA,NA,2.05,48570,869.42,81.1,0,296750,0.2
"187","Barbados",2000,4.45,NA,NA,1.75,NA,37.58,75.42,0.85,266089,NA
"188","Barbados",2001,4.54,NA,NA,NA,NA,56.22,NA,0.92,266815,NA
"189","Barbados",2002,4.57,NA,NA,1.75,NA,112.14,74.94,0.95,267518,NA
"190","Barbados",2003,4.44,NA,NA,1.75,NA,372.85,NA,0.87,268204,1.57
"191","Barbados",2004,NA,NA,NA,1.69,NA,557.87,75.4,NA,268881,NA
"192","Barbados",2005,NA,NA,NA,NA,NA,593.57,NA,NA,269556,1.55
"193","Lebanon",2000,4.07,2081.23,1340.83,2.47,4590,79.53,71.3,5.23,3772283,NA
"194","Lebanon",2001,4.32,2093.85,1422.25,NA,4570,68.05,NA,5.33,3820719,NA
"195","Lebanon",2002,4.23,2238.95,1388.14,2.32,4510,103.38,71.83,4.33,3869218,NA
"196","Lebanon",2003,4.84,2288.43,1520.6,NA,4830,127.63,NA,3.94,3917538,0.08
"197","Lebanon",2004,NA,2231.33,1361.2,NA,5550,151.33,NA,3.81,3964891,NA
"198","Lebanon",2005,NA,NA,NA,2.25,5510,174.53,72.54,NA,4010740,0.14
"199","Europe & Central Asia",2000,6.52,3287.62,2631.46,1.62,1960,27.79,68.47,3.2,4.6e+08,NA
"200","Europe & Central Asia",2001,6.51,3316.64,2662.04,NA,1920,40.71,NA,3.16,4.6e+08,NA
"201","Europe & Central Asia",2002,6.57,3342.29,2676.52,1.6,2100,65.95,68.57,3.18,4.6e+08,NA
"202","Europe & Central Asia",2003,6.82,3462.81,2783.5,NA,2490,97.1,NA,3.07,4.6e+08,0.56
"203","Europe & Central Asia",2004,NA,3568.43,2808.98,NA,3180,136.02,NA,2.8,4.6e+08,NA
"204","Europe & Central Asia",2005,NA,NA,NA,1.58,3970,186.42,68.95,2.78,4.6e+08,0.61
"205","Lesotho",2000,NA,NA,NA,NA,630,2.24,41.16,3.58,1787504,NA
"206","Lesotho",2001,NA,NA,NA,NA,580,2.78,NA,3.11,1795843,NA
"207","Lesotho",2002,NA,NA,NA,3.65,530,11.67,36.47,2.85,1799710,NA
"208","Lesotho",2003,NA,NA,NA,3.5,580,16.67,NA,2.81,1799971,23.68
"209","Lesotho",2004,NA,NA,NA,NA,720,23.92,NA,2.56,1797972,NA
"210","Lesotho",2005,NA,NA,NA,3.4,930,NA,35.16,2.35,1794769,23.24
"211","El Salvador",2000,0.91,643.9,648.99,3,2000,11.15,70.15,0.85,6280482,NA
"212","El Salvador",2001,0.93,579.15,666.78,NA,2040,23.43,NA,0.79,6402452,NA
"213","El Salvador",2002,0.92,605.67,659.01,2.88,2080,45.99,70.63,0.76,6523374,NA
"214","El Salvador",2003,0.98,621.53,683.25,NA,2190,82.79,NA,0.7,6643296,0.91
"215","El Salvador",2004,NA,629.21,663.52,NA,2330,86.87,NA,0.67,6762439,NA
"216","El Salvador",2005,NA,NA,NA,2.76,2450,92.58,71.31,0.62,6880951,0.92
"217","Liechtenstein",2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"218","Liechtenstein",2001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"219","Liechtenstein",2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"220","Liechtenstein",2003,NA,NA,NA,NA,NA,586.51,NA,NA,34100,NA
"221","Liechtenstein",2004,NA,NA,NA,NA,NA,638.61,NA,NA,34450,NA
"222","Liechtenstein",2005,NA,NA,NA,NA,NA,633.09,NA,NA,34750,NA
"223","World",2000,3.81,2395.84,1686.82,2.7,5250,65.07,66.71,2.27,6.07e+09,NA
"224","World",2001,3.83,2389.59,1677.28,NA,5220,80.29,NA,2.32,6.14e+09,NA
"225","World",2002,3.92,2441.18,1693.42,2.64,5170,99.91,66.99,2.42,6.22e+09,NA
"226","World",2003,4.04,2516.62,1730.77,NA,5560,115.02,NA,2.49,6.29e+09,0.92
"227","World",2004,NA,2601.03,1790.49,NA,6340,134.62,NA,2.5,6.37e+09,NA
"228","World",2005,NA,NA,NA,2.58,7020,136.5,67.6,2.49,6.45e+09,0.94
"229","Central African Republic",2000,0.07,NA,NA,5.09,270,0.53,40.59,NA,3777405,NA
"230","Central African Republic",2001,0.07,NA,NA,NA,260,0.78,NA,NA,3835064,NA
"231","Central African Republic",2002,0.07,NA,NA,4.96,250,1.29,39.37,1.02,3887379,NA
"232","Central African Republic",2003,0.06,NA,NA,NA,260,1.52,NA,1.26,3936626,10.82
"233","Central African Republic",2004,NA,NA,NA,NA,310,2.26,NA,1.16,3985971,NA
"234","Central African Republic",2005,NA,NA,NA,4.73,350,2.72,39.43,1.12,4037747,10.73
"235","Slovenia",2000,7.25,5777.78,3262.44,1.26,10780,150.83,75.91,1.15,1989000,NA
"236","Slovenia",2001,7.58,6006.53,3415.16,1.21,10400,301.2,76.2,1.37,1992000,NA
"237","Slovenia",2002,7.66,6383.15,3481.44,1.21,10360,376.13,76.45,1.47,1994000,NA
"238","Slovenia",2003,7.72,6582.15,3510.55,1.2,11990,400.86,76.4,1.49,1995700,0.1
"239","Slovenia",2004,NA,6834.75,3590.89,1.25,14880,475.71,77.61,1.59,1997000,NA
"240","Slovenia",2005,NA,NA,NA,1.23,17430,544.86,77.61,1.67,2000500,0.1
"241","Burkina Faso",2000,0.09,NA,NA,NA,250,0.8,46.79,1.41,11300000,NA
"242","Burkina Faso",2001,0.09,NA,NA,NA,240,1.63,NA,1.31,11600000,NA
"243","Burkina Faso",2002,0.09,NA,NA,6.2,250,2.08,47.35,1.5,1.2e+07,NA
"244","Burkina Faso",2003,0.08,NA,NA,NA,290,3.87,NA,1.31,12400000,1.8
"245","Burkina Faso",2004,NA,NA,NA,5.9,350,4.15,NA,1.28,12800000,NA
"246","Burkina Faso",2005,NA,NA,NA,5.9,430,4.88,48.48,1.34,13200000,2.01
"247","Mongolia",2000,3.13,NA,NA,2.62,390,12.51,65.1,2.58,2398000,NA
"248","Mongolia",2001,3.25,NA,NA,NA,390,16.52,NA,2.28,2421360,NA
"249","Mongolia",2002,3.38,NA,NA,2.43,420,20.42,65.46,2.27,2448509,NA
"250","Mongolia",2003,3.21,NA,NA,NA,490,57.59,NA,1.89,2479568,0.1
"251","Mongolia",2004,NA,NA,NA,NA,610,79.53,NA,1.71,2514678,NA
"252","Mongolia",2005,NA,NA,NA,2.33,720,105.05,66.84,NA,2554000,0.1
"253","Guatemala",2000,0.91,344.79,639.96,4.76,1740,7.16,66.25,0.82,11200000,NA
"254","Guatemala",2001,0.92,373.29,639.52,NA,1730,17.49,NA,0.94,11400000,NA
"255","Guatemala",2002,0.94,378.45,630.52,4.6,1790,34.16,67.04,0.68,11700000,NA
"256","Guatemala",2003,0.89,492.31,607.83,NA,1960,45.84,NA,0.72,1.2e+07,0.86
"257","Guatemala",2004,NA,514.2,615.63,NA,2190,61.81,NA,0.42,12300000,NA
"258","Guatemala",2005,NA,NA,NA,4.33,2400,79.37,67.85,0.41,12600000,0.9
"259","Timor-Leste",2000,NA,NA,NA,6.64,NA,NA,54.14,NA,783635.7,NA
"260","Timor-Leste",2001,NA,NA,NA,NA,NA,NA,NA,NA,787338,NA
"261","Timor-Leste",2002,0.19,NA,NA,7.79,420,NA,55.17,NA,830676.7,NA
"262","Timor-Leste",2003,0.18,NA,NA,7.77,390,NA,NA,NA,876400.9,0.2
"263","Timor-Leste",2004,NA,NA,NA,NA,580,NA,NA,NA,924642,NA
"264","Timor-Leste",2005,NA,NA,NA,7.47,750,NA,56.72,NA,975538.5,0.2
"265","New Zealand",2000,8.59,8911.82,4495.83,2.02,13760,392.71,78.64,1.23,3857800,NA
"266","New Zealand",2001,9.02,8723.36,4492.2,1.97,13560,454.07,78.69,1.14,3880500,NA
"267","New Zealand",2002,8.78,8872.08,4502.3,1.9,13650,484.37,78.85,1.08,3939100,NA
"268","New Zealand",2003,8.67,9011.77,4309.59,1.94,15740,526.29,79.15,1.05,4009200,0.1
"269","New Zealand",2004,NA,8936.57,4344.31,2.01,19610,578.62,79.55,1.03,4061400,NA
"270","New Zealand",2005,NA,NA,NA,2,25920,671.89,79.62,1.01,4098900,0.1
"271","Angola",2000,0.48,89.16,572.3,6.81,430,1.08,40.44,2.21,13800000,NA
"272","Angola",2001,0.5,98.49,585.02,NA,470,1.41,NA,1.43,14200000,NA
"273","Angola",2002,0.52,103.09,589.93,6.75,620,2.8,40.7,1.5,14600000,NA
"274","Angola",2003,0.57,113.45,606.1,NA,710,5.58,NA,2.13,1.5e+07,3.7
"275","Angola",2004,NA,123.82,612.52,NA,940,11.1,NA,4.14,15500000,NA
"276","Angola",2005,NA,NA,NA,6.56,1410,11.04,41.42,5.04,15900000,3.68
"277","High income: OECD",2000,12.71,9443.35,5461.17,1.66,27400,328.4,78.23,2.18,9.09e+08,NA
"278","High income: OECD",2001,12.68,9317.71,5407.69,1.64,27200,390.38,78.45,2.22,9.15e+08,NA
"279","High income: OECD",2002,12.73,9448.38,5414.13,1.62,27000,443.3,78.56,2.36,9.2e+08,NA
"280","High income: OECD",2003,12.76,9546.92,5423.13,1.46,29100,471.94,78.7,2.48,9.26e+08,0.36
"281","High income: OECD",2004,NA,9693.51,5495.31,1.66,33200,524.85,78.84,2.51,9.32e+08,NA
"282","High income: OECD",2005,NA,NA,NA,1.66,36500,525.36,79.24,2.54,9.38e+08,0.36
"283","Greece",2000,8.27,4539.41,2548.29,1.29,11500,91.6,77.99,4.76,10900000,NA
